"","text.X","text.text","emotion","polarity"
"49",49,"rt davemacladd main takeaway uselection will embolden tories still big big market absolut…","joy","positive"
"50",50,"us watchdog probing whether justice department officials tried overturn election cbc news… httpstcoxwwmgm","unknown","negative"
"51",51,"rt natashaboddy nearly financialreview readers say trump allowed run us president politics uselecti…","unknown","positive"
"52",52,"nearly financialreview readers say trump allowed run us president politics… httpstcomcrcsouj","unknown","positive"
"53",53," greatest thing seen uselection question filled place heart needed … httpstcowaihjhqfd","joy","neutral"
"54",54," world live now seriously really need careful many called men god uufefuufef… httpstcoetukpkvy","joy","neutral"
"55",55," comprehensive analysis donaldtrumps defeat uselection defence analyst genamjadshuaib belives th… httpstcodbfvdrdel","unknown","neutral"
"56",56,"another day another stab working earth value defamation lawsuit calculated asked ou… httpstcolsgcbacww","unknown","negative"
"57",57," getting serious uselection httpstcoapdxrzlm","unknown","negative"
"58",58,"borisjohnson president usa potus cafe uselection programming future o… httpstcohggshyikkc","unknown","positive"
"59",59,"rt profguidokuehn whoever wins uselection will certainly take one presidency heal deeply divided frighten…","unknown","neutral"
"60",60," will trumps followers accept truth joebiden kamalaharris won fair uselection httpstcozmutrylqt","unknown","positive"
"61",61,"rt shahlaatahira back first live show uffb richiebrave amp discuss uselection inauguration amp mea…","joy","neutral"
"62",62,"rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx","unknown","positive"
"63",63,"rt shahlaatahira back first live show uffb richiebrave amp discuss uselection inauguration amp mea…","joy","neutral"
"64",64,"rt shahlaatahira back first live show uffb richiebrave amp discuss uselection inauguration amp mea…","joy","neutral"
"65",65,"back first live show uffb richiebrave amp discuss uselection inauguration amp al… httpstcorwihyoyk","joy","neutral"
"66",66,"rt ozzymanreviews staircase like us election battleground state ay uf crank ya sound ozzyman ozzymanreviews parentsvsstairs…","joy","negative"
"67",67,"rt glennbbc “accept inevitable” scotland’s first minister unicolasturgeonu thinks ’s time urealdonaldtrumpu puts ‘country …","unknown","positive"
"68",68,"rt notrepulsion reasons love twitter peacefully trumpvsbiden uselection biden httpstcowwihefi","joy","positive"
"69",69,"rt glennbbc “accept inevitable” scotland’s first minister unicolasturgeonu thinks ’s time urealdonaldtrumpu puts ‘country …","unknown","positive"
"70",70," ppl lost minds uselection trumpers maga treasonoustrump countryoverparty httpstcoxzlzswi","unknown","negative"
"71",71,"thank mr biden trumpconceded joebiden uselection httpstcofbgiuzipy","unknown","positive"
"72",72,"rt ozzymanreviews staircase like us election battleground state ay uf crank ya sound ozzyman ozzymanreviews parentsvsstairs…","joy","negative"
"73",73,"rachellevine assistant heath secretary gets uselection joebiden covid covidsecondwave… httpstcoqhkgzqth","unknown","negative"
"74",74,"rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx","unknown","positive"
"75",75,"uselection trump attempted coup month leading capitol riot ny times ufeufeufe… httpstcowrfzcrtyou","unknown","neutral"
"76",76," uselection media pundits talking political polarization us re… httpstconrznyejalk","unknown","positive"
"77",77,"rt kathyconwom various institutions media judiciary legislature states looked fraud…","unknown","positive"
"78",78," go live bro richiebrave xtra join discussion ’re talking things uselection … httpstcolpyvxsw","anger","positive"
"79",79," made story people situations like ’s called ‘ emperor’s clothes’ politicslive… httpstcoxvtdm","joy","positive"
"80",80,"rt aseemarora eyes michigan now uf uselection","unknown","positive"
"81",81,"excited share latest addition etsy shop mens cultivator zip hoodie httpstcowwodxooko… httpstcominmqlxyj","unknown","positive"
"82",82,"rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx","unknown","positive"
"83",83,"rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx","unknown","positive"
"84",84,"rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx","unknown","positive"
"85",85,"rt orphansliberty orphans liberty newsless time let’s look national uselection httpstcosntfhsvv","unknown","neutral"
"86",86,"orphans liberty newsless time let’s look national uselection httpstcosntfhsvv","unknown","neutral"
"87",87,"someone said feel like ’ve just released hostage situation ’s like hos… httpstcoqmnzspwg","joy","positive"
"88",88,"rt kathyconwom various institutions media judiciary legislature states looked fraud…","unknown","positive"
"89",89,"rt kathyconwom various institutions media judiciary legislature states looked fraud…","unknown","positive"
"90",90,"controversy slvseng even local wildlife belated affected uselection uf litt… httpstcodsqsnwbtor","unknown","negative"
"91",91,"rt hjaltshul thejeremyvine decide give platform nigel farage today bbcradio talk uselection …","unknown","positive"
"92",92,"rt millenniumtv half way january already feels like ’s time reset election uselection bide…","joy","negative"
"93",93,"rt kathyconwom various institutions media judiciary legislature states looked fraud…","unknown","positive"
"94",94,"rt kathyconwom various institutions media judiciary legislature states looked fraud…","unknown","positive"
"95",95,"rt kathyconwom various institutions media judiciary legislature states looked fraud…","unknown","positive"
"96",96,"rt kathyconwom various institutions media judiciary legislature states looked fraud…","unknown","positive"
"97",97,"rt kathyconwom various institutions media judiciary legislature states looked fraud…","unknown","positive"
"98",98," various institutions media judiciary legislature states looked th… httpstcokqppprgeli","unknown","positive"
"99",99,"pluto returns position usas birth chart years signify mean coun… httpstcoxnsvqgpwv","unknown","negative"
"100",100,"biden became president million million dollars distributed anonymous people suppo… httpstcoxwvfem","unknown","positive"
"101",101,"chuckgrassley one stopping u ur trumpie preaching ur crap ideology streetcorner u desire ole… httpstcobnbtvxqbk","unknown","positive"
"102",102,"rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos","unknown","negative"
"103",103,"uff prior uselection inauguration biden perceived soft china latest s… httpstcokbphvxdr","unknown","positive"
"104",104," majority necessarily always right case even ’re majority can’t denied… httpstcothcghhc","unknown","positive"
"105",105,"ritapanahi america everything deserves vote stupid choices get stupid prizes uselection","surprise","negative"
"106",106,"rt jonathan troops dc just virtual inauguration something else planned trump uselection…","unknown","positive"
"107",107,"rt ronbousso found thinking book lot recent weeks sinclair lewis thought happen us …","unknown","positive"
"108",108," found thinking book lot recent weeks sinclair lewis thought happen us … httpstcoxkbktkwxgc","unknown","positive"
"109",109," received jesus christ believed name gave right become childre… httpstcoqpiky","unknown","positive"
"110",110,"rt theadvisory true love used yahoo boys showed ufufe manunited poch gowon uselection httpst…","joy","positive"
"111",111,"rt ixi fully believe covid china uselection parts bird think latter finally d…","unknown","positive"
"112",112,"uselectionresults uselection really interested see documentary objectively examines cl… httpstcojubxkpjbg","unknown","positive"
"113",113,"rt gtexthomes congratulations th president united states america — joe biden gtexthomes inaguration…","unknown","positive"
"114",114,"telegraph th amendment can used remove trump check interesting blog… httpstcobtqdbckxe","unknown","positive"
"115",115,"rt alessiorastani us election will happen got wrong right httpstcoahfrjshz video uselection","unknown","negative"
"116",116,"rt alessiorastani might like now hearing remaining votes counted biden will likely squeeze…","joy","positive"
"117",117,"rt alessiorastani shock election event sink markets httpstcoeridrbbogd video uselection uselection","unknown","negative"
"118",118,"rt alessiorastani can markets predict will us elections year find httpstcogsljhmvcoo video usele…","unknown","positive"
"119",119," years trump storming capitolhill now detained federal facility dear… httpstcoauithsz","unknown","positive"
"120",120," couldn’t resist berniesmittens berniesanders berniememes uselection httpstcomivowvvaka","unknown","positive"
"121",121,"rt coinshark go u giveaway winners ufbuf like rt tweet uufefuf sign httpstcomalqayuw also…","joy","positive"
"122",122," videogame uselection covid quarantine httpstcorogdjhore","unknown","positive"
"123",123,"exclusive trump says something just yet first postpresidential remark pakustv nyc… httpstcoyctdfop","unknown","positive"
"124",124,"representation matters dkpol usa uselection us httpstcobakuzmt","unknown","positive"
"125",125,"unpopular fact kamala wasn’t voted power people even party given old white man uselection","unknown","neutral"
"126",126," know whether laugh cry ufuduufefufa trumpistan trumpidiots uselection httpstcoirrycut","unknown","negative"
"127",127," simpsons predictions soo accurate ufuffbuduufef makers show time machine ufuf… httpstcoocusmmhz","unknown","neutral"
"128",128," must saved replied believe lord jesus christ will saved … httpstcodghaiwvfsh","unknown","positive"
"129",129," uselection new president joebidens uturn things amp party chosen earlier now… httpstcofinjhoroz","unknown","positive"
"130",130,"sanjazakovska different analogyuf uselection expectations vs uselection reality","unknown","positive"
"131",131,"sanjazakovska different analogyuf uselection expectations vs uselection reality","unknown","positive"
"132",132,"rt prblueberry really important spell check today great example noticed increasing errors media articles n…","joy","positive"
"133",133,"‘joe biden president’ trends india tweet – started joebidenisnotmypresident… httpstcoducamdvbj","unknown","positive"
"134",134,"first days usgulf relations httpstcovifdlstts uselection","unknown","positive"
"135",135,"rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos","unknown","negative"
"136",136,"modi govt must learn use power might next uselection","unknown","positive"
"137",137,"rt hiddentruth trump won care lies told wake look around still trump country usa tru…","joy","positive"
"138",138," really important spell check today great example noticed increasing errors media articl… httpstcohqeinxtx","joy","positive"
"139",139," hilarious tell guy got votes ever million joke uff uselection… httpstcoqfuacymc","joy","positive"
"140",140,"rt saulosantana latest work design oval office setdesign broadcasting tv onair design newsdesign uselection bild …","unknown","positive"
"141",141,"rt jurisdictio joe biden greatest presidential speech uselection httpstcokghflru","unknown","positive"
"142",142,"yeah wasn’t great see footage uselection campaign oh wait uf httpstconsnafzpjv","joy","positive"
"143",143,"elizabeth richter named interim head cms biden transitions new era uselection kamalaharris… httpstcoptgxmuxia","unknown","positive"
"144",144,"micky tripathi named biden administration lead onc uselection kamalaharris joebiden uspresident… httpstcozsjzryjvyz","unknown","positive"
"145",145," uselection dust settled think ’s worth pointing trump didn’t question joebiden … httpstcoqywoistfk","unknown","neutral"
"146",146,"rt rorybremner trump latest rant full usaelections uselection httpstcowifjwjculh","unknown","neutral"
"147",147,"rt peterwmurphy q joe biden steal election convinced million americans vote uselection uspoli…","unknown","negative"
"148",148,"rt richardcalderv uselection can see observable truth politics today trump lost like jeremycorbyn lost uk…","joy","positive"
"149",149,"q joe biden steal election convinced million americans vote uselection uspolitics","unknown","negative"
"150",150,"telegraph thechrisprice th amendment can used remove trump check … httpstcoagwnutks","unknown","positive"
"151",151,"rt theresaafallon german der spiegel’s take outcome uselection right trump cover httpstcoqtkcxvxck","unknown","positive"
"152",152," lovely cwbookshop will cohosting livestream event jonsopel pm thursday th jan tickets … httpstcoveukmie","unknown","positive"
"153",153,"rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos","unknown","negative"
"154",154," hire seniors uf berniesanders sensanders berniesanders berniesandersmittens uselection usa httpstcoqnupemtx","unknown","positive"
"155",155," hire seniors uf berniesanders sensanders berniesanders berniesandersmittens uselection httpstcocyicehk","unknown","positive"
"156",156,"rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos","unknown","negative"
"157",157,"rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos","unknown","negative"
"158",158,"rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos","unknown","negative"
"159",159,"rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos","unknown","negative"
"160",160,"rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos","unknown","negative"
"161",161,"rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos","unknown","negative"
"162",162,"rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos","unknown","negative"
"163",163,"rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos","unknown","negative"
"164",164,"rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos","unknown","negative"
"165",165,"rt presidentlebon realobonjo profmalhotra joebiden french mr president potus leaderofthefreeworld care…","unknown","positive"
"166",166,"rt richardcalderv uselection can see observable truth politics today trump lost like jeremycorbyn lost uk…","joy","positive"
"167",167," uselection can see observable truth politics today trump lost like jeremycorbyn lost th… httpstcolhiizkuyg","joy","positive"
"168",168," may first woman office won’t last kamala harris history made today t… httpstcopuekqxkdpm","unknown","negative"
"169",169,"rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos","unknown","negative"
"170",170,"hey nigelfarage ’s old mate don heard days worried ’s okay donaldtrump uselection","unknown","negative"
"171",171," excellent performance trend amp event driven selections greennewdeal medtech g covid… httpstcoqhtgnowte","unknown","positive"
"172",172,"rt neuroticslacker bro wth leader isn’t elections electionday uselection uselection electionmemes httpst…","anger","positive"
"173",173,"rt gsgaurav joy us media bidens victory us elections resembles india modi kno…","joy","positive"
"174",174,"rt presstv us deep crisis dancohen part uselection dancohen httpstcosldoajy","unknown","negative"
"175",175,"rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos","unknown","negative"
"176",176,"rt presstv us deep crisis dancohen part uselection dancohen httpstcosldoajy","unknown","negative"
"177",177," past four yrs arrays unexpected decisions made states tackle various storms indeed biden… httpstcogwhfmmvq","unknown","negative"
"178",178,"paulmasonnews pirouetting spectacular fashion tantalisingly close accepting class dynamic lordashcroft… httpstcothopnhsetm","joy","positive"
"179",179,"rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos","unknown","negative"
"180",180,"rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos","unknown","negative"
"181",181,"rt presstv us deep crisis dancohen part uselection dancohen httpstcosldoajy","unknown","negative"
"182",182,"hookeygolfer twitter also adds likes pedo joebiden posts go zero likes secs just… httpstcokzcymh","unknown","positive"
"183",183,"rt presstv us deep crisis dancohen part uselection dancohen httpstcosldoajy","unknown","negative"
"184",184,"rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos","unknown","negative"
"185",185,"rt presstv us deep crisis dancohen part uselection dancohen httpstcosldoajy","unknown","negative"
"186",186,"rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos","unknown","negative"
"187",187,"rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos","unknown","negative"
"188",188,"rt presstv us deep crisis dancohen part uselection dancohen httpstcobkpelkos","unknown","negative"
"189",189,"us deep crisis dancohen part uselection dancohen httpstcosldoajy","unknown","negative"
"190",190,"us deep crisis dancohen part uselection dancohen httpstcobkpelkos","unknown","negative"
"191",191,"rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx","unknown","positive"
"192",192,"rt orphansliberty orphans liberty donald lays uselection httpstconvuadohm","unknown","positive"
"193",193,"rt orphansliberty orphans liberty back square one uselection httpstcopjvnscikli","unknown","positive"
"194",194,"orphans liberty donald lays uselection httpstconvuadohm","unknown","positive"
"195",195,"orphans liberty back square one uselection httpstcopjvnscikli","unknown","positive"
"196",196,"joebiden trump uselection joebideninauguration joe biden president httpstcokxhiwnvbe","unknown","positive"
"197",197," suddenly busy investigating various issues regards covid now uselection … httpstcouxpetqggpz","unknown","negative"
"198",198,"inauguration day passed peacefully around usa supposed believe went “attempted… httpstcoopqpztqdy","unknown","neutral"
"199",199,"around week uselection results came conversing colleague united states o… httpstcobkcfncgwqy","unknown","positive"
"200",200,"excuse just learning trump’s red cokebutton now priorities uselection trumpgone","unknown","neutral"
"201",201,"trump yet massive following believes uselection rigged httpstcogmgtdueyuv","unknown","positive"
"202",202,"rt espressoinvest biden presidency hold india indian markets going ahead read know httpst…","unknown","positive"
"203",203,"kamala harris credits mom success uselection uspresidentialelection joebiden… httpstcoujnjvxsc","unknown","positive"
"204",204,"rt riserefugee regardless wins us elections apart us citizens nonus citizens particularly non oecd countries…","surprise","positive"
"205",205,"rt riserefugee regardless wins us elections apart us citizens nonus citizens particularly non oecd countries…","surprise","positive"
"206",206," us elects president us presidential election works uselection election usaelections httpstcowgnmoohb","unknown","negative"
"207",207,"thank god sensible intelligent people charge now joebiden uselection","joy","positive"
"208",208,"rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx","unknown","positive"
"209",209," god loved world gave one son jesus christ whoever believes shall … httpstcopuiohutua","sadness","neutral"
"210",210," give humility compassion innately generated pretend … httpstcomzquechyk","unknown","neutral"
"211",211,"rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx","unknown","positive"
"212",212,"rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx","unknown","positive"
"213",213,"thought might interested inauguration uselection data sleepscore labs shared today sleep… httpstcoesjqxiu","unknown","positive"
"214",214,"rt empirebread artist base abuja need studio record song enjoy december promo contact us th…","joy","neutral"
"215",215,"rt empirebread artist base abuja need studio record song enjoy december promo contact us th…","joy","neutral"
"216",216,"rt empirebread artist base abuja need studio record song enjoy december promo contact us th…","joy","neutral"
"217",217,"rt womenlovetech uff madam vice president kamalaharris congress uselection uselection whitehouse biden femaleempowerment fema…","unknown","negative"
"218",218,"rt jackwhitehall end number electoral college votes go super uselection","unknown","positive"
"219",219,"great read nonviolent activists laid groundwork oppose coup may saved republic thanks … httpstcorirhyfbzc","joy","negative"
"220",220," uselection obviously fraud try convince us kanye west got votes real… httpstcojzsrkblg","unknown","negative"
"221",221,"rt thaguru still greatest proposal video ever watched internet icon valrma fajr borat uselection httpstco…","unknown","positive"
"222",222,"highlights presidential inauguration like thecanaryuk httpstcoctrabx trending us… httpstcoyavjffpzf","joy","positive"
"223",223,"rt womenlovetech uff madam vice president kamalaharris congress uselection uselection whitehouse biden femaleempowerment fema…","unknown","negative"
"224",224,"rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx","unknown","positive"
"225",225,"rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx","unknown","positive"
"226",226,"rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx","unknown","positive"
"227",227,"rt mukiibihnv mcgregorpoirier fight will doubt unite millions jadwong something lighter ugdecides uselection","unknown","negative"
"228",228,"abhijitsapkal relevant question people trending trumpgonemodinext reasons … httpstcopttiusgwc","unknown","negative"
"229",229,"rt iamdamian many likes retweets champ kamalaharris first ever female us vice president k uf uselect…","unknown","neutral"
"230",230,"rt crikeynews enthusiastic joe bidens candidacy president challenges need cover prove …","joy","neutral"
"231",231,"rt hiddentruth trump won care lies told wake look around still trump country usa tru…","joy","positive"
"232",232,"mcgregorpoirier fight will doubt unite millions jadwong something lighter ugdecides uselection","unknown","negative"
"233",233,"rt usamawajid trump want go white house sir ufufuf trumpmeltdown uselection usaelection u…","unknown","positive"
"234",234," just shared company meeting httpstcozuvvghf worlds views pola… httpstcocnhsyhqoy","unknown","positive"
"235",235,"ian wasn’t altright night nige uselection","unknown","positive"
"236",236,"scott thompson commentary podcast amchml httpstcoisdrpmfz hamont uselection trump trumpseriesfinale","unknown","positive"
"237",237,"khameneiir oh joebiden kamalaharris condemned khameneiir uselection","unknown","positive"
"238",238,"rt cpersiacom berniesanders mittens won inauguration fit battle uf persianrug persiancarpet uselection rug cpersia car…","anger","neutral"
"239",239,"berniesanders mittens won inauguration fit battle uf persianrug persiancarpet uselection rug… httpstcooyylfeaat","anger","neutral"
"240",240,"rt amedjaaf uselection means yemen latuffcartoons mintpressnews httpstcosgfkyeq","unknown","positive"
"241",241,"rt coinshark go u giveaway winners ufbuf like rt tweet uufefuf sign httpstcomalqayuw also…","joy","positive"
"242",242," inauguration president joe biden httpstcocbppgqco biden joebiden inauguration inaugurationday… httpstcokqnzxfccdn","unknown","positive"
"243",243,"shey realffk contest uselection httpstcoxxeixcgcd","unknown","positive"
"244",244," best things readwatchedheard uselection period amazing wo… httpstcougzbjdqf","surprise","positive"
"245",245,"rt espressoinvest biden presidency hold india indian markets going ahead read know httpst…","unknown","positive"
"246",246," biden presidency hold india indian markets going ahead read know … httpstcojkxcfwgt","unknown","positive"
"247",247," thejeremyvine decide give platform nigel farage today bbcradio talk … httpstcotxmphphgyz","unknown","positive"
"248",248," world geography quiz app addicted usually updates every months made exc… httpstcomtkhrmqnc","unknown","positive"
"249",249,"unity inauguration unity day uffauff unity say unity httpstcoriuxruf joebiden… httpstcomxzdaqye","unknown","positive"
"250",250,"rt iamhbi promise president udududdudude going treated like every confessional faith really mean ududude udududdudeud…","joy","positive"
"251",251," president joe biden sworn office administration immediately began undoing trump’s policies… httpstcoqgeroenak","unknown","positive"
"252",252,"joe biden president uscapitol uselection usinauguration","unknown","positive"
"253",253," presidential term seems just launchpad actual first ever america come… httpstcoezvqtcvc","unknown","positive"
"254",254,"biden calls unity working class stock markets rise sepmanchester bidenharrisinauguration… httpstcocglkehx","unknown","positive"
"255",255,"rt iamykona uncensored d anthemufa raybekah ufb link httpstcooryccnrrq ericapepperdem layconlookatme nengiiscoming j…","unknown","positive"
"256",256,"rt paperandpatter today good day bidenharrisinauguration inauguration thpresident joebiden election election usel…","joy","negative"
"257",257,"come difficult joebiden inaugurationday inauguration inauguration… httpstcocpcyrdfo","unknown","negative"
"258",258," md founder tomcat bob griffin bbcglos morning discussing opportunities challenges… httpstcojfjjqugwl","unknown","positive"
"259",259,"trump won care lies told wake look around still trump country usa… httpstcogqadzfmg","joy","neutral"
"260",260,"rt edbaranya ufeduffa prime minister orbán viktor congratulates uffauff president joe biden past four years proved friendly mutu…","joy","positive"
"261",261," joe bye don potus joebiden uselection sarcaustic sarcastic","unknown","negative"
"262",262," first woman black indian stepping whitehouse elected congratulations joebiden amp… httpstcoowsunht","unknown","neutral"
"263",263,"ufeduffa prime minister orbán viktor congratulates uffauff president joe biden past four years proved friendly… httpstcoeutethjua","unknown","positive"
"264",264,"rt urbanlo democracy ability vote failed government incompetent leaders power democracy uselection donaldt…","unknown","negative"
"265",265,"rt urbanlo democracy ability vote failed government incompetent leaders power democracy uselection donaldt…","unknown","negative"
"266",266,"democracy ability vote failed government incompetent leaders power democracy… httpstcotajucwetc","unknown","negative"
"267",267,"us president joe biden signed series executive actions reverse policies donald trump administration… httpstcouqglggpzw","unknown","positive"
"268",268,"orphans liberty never appease never backslide commitments uselection httpstcoeqdbnigp","unknown","positive"
"269",269,"hey miss anything maga usa uselection byetrump httpstcoqdnwdkagl","unknown","neutral"
"270",270,"mcfaul michael take look think least probably reveals rudy b… httpstcojqfmwxysd","unknown","neutral"
"271",271,"will uschina relations change biden speak fmr us government official kim hoggard… httpstcoeiybfem","unknown","positive"
"272",272,"congratulations th president united states america — joe biden gtexthomes… httpstcoosyfrdxl","unknown","positive"
"273",273,"congratulations th president united states america — joe biden gtexthomes… httpstcojlaqeef","unknown","positive"
"274",274," typical re post one atypical days can remember definitely must watch haven… httpstcougmeulqshj","unknown","negative"
"275",275,"projectlincoln noon wednesday january usa pardon pun donald j trump gone… httpstcopsprovmuzk","unknown","positive"
"276",276,"congratulations americans dumptrump joebiden unitedstates uselection httpstcojcnfigwcoi","unknown","positive"
"277",277,"congratulations americans dumptrump joebiden unitedstates uselection httpstcovuepdmkiy","unknown","positive"
"278",278,"rt noahgodwin another burnol moment librandus pissfulls jumping india bidens amp kamalaharris victory u…","unknown","positive"
"279",279,"rt noahgodwin another burnol moment librandus pissfulls jumping india bidens amp kamalaharris victory u…","unknown","positive"
"280",280,"another burnol moment librandus pissfulls jumping india bidens amp kamalaharris victory … httpstcocpghaca","unknown","positive"
